dir,criterion,augmentation,batch_size,do_batch_norm,n_blocks,n_initial_block_channels,learning_rate,variable_unet,adam_regul_factor,p_dropout,epochs,common_split,node,dice_80_100,dice_130_150
16-09_17-31_aDAOG_cBD_b16_e100,BD,DAOG,16,FALSE,4,64,0.001,FALSE,0,0,100,TRUE,,0.156,
16-09_17-38_aDAOG_cBD_b16_e100_BN,BD,DAOG,16,TRUE,4,64,0.001,FALSE,0,0,100,TRUE,,0.507,
17-09_01-13_aDA_cBD_b16_e100_BN,BD,DA,16,TRUE,4,64,0.001,FALSE,0,0,100,TRUE,,0.509,
17-09_01-53_aDAOG_cBCE_b16_e100_BN,BCE,DAOG,16,TRUE,4,64,0.001,FALSE,0,0,100,TRUE,,0.482,
17-09_09-29_aDAOG_cDICE_b16_e100_BN,DICE,DAOG,16,TRUE,4,64,0.001,FALSE,0,0,100,TRUE,,0.378,
17-09_09-32_aDAOG_cBD_b8_e100_BN,BD,DAOG,8,TRUE,4,64,0.001,FALSE,0,0,100,FALSE,,0.506,
17-09_11-18_aDAOG_cBD_b32_e100_BN,BD,DAOG,32,TRUE,4,64,0.001,FALSE,0,0,100,FALSE,,0.524,
17-09_13-17_aNA_cBD_b16_e100_BN,BD,NA,16,TRUE,4,64,0.001,FALSE,0,0,100,TRUE,,0.494,
17-09_18-39_aDAOG_cBD_b16_e100_BN_varUnet_blk3,BD,DAOG,16,TRUE,3,64,0.001,TRUE,0,0,100,TRUE,,0.297,
17-09_19-05_aDAOG_cBD_b16_e100_BN_varUnet_ch32,BD,DAOG,16,TRUE,4,32,0.001,TRUE,0,0,100,TRUE,,< 0.2,
17-09_21-07_aDAOG_cBD_b48_e100_BN_varUnet,BD,DAOG,48,TRUE,4,64,0.001,TRUE,0,0,100,FALSE,,0.19,
18-09_10-28_aDAOG_cBD_b16_e100_BN,BD,DAOG,16,TRUE,4,64,0.001,FALSE,0,0,100,TRUE,,0.516,
18-09_12-53_aDAOG_cB2D_b16_e100_BN,B2D,DAOG,16,TRUE,4,64,0.001,FALSE,0,0,100,TRUE,,0.534,
18-09_13-11_aDAOG_cBD_b16_e100_BN_lr0.01,BD,DAOG,16,TRUE,4,64,0.01,FALSE,0,0,100,TRUE,gpu01,0.506,
18-09_13-28_aDAOG_cBD_b16_e100_BN_wd0.01,BD,DAOG,16,TRUE,4,64,0.001,FALSE,0.01,0,100,TRUE,gpu01,0.4,
18-09_13-35_aDAOG_cBD_b48_e100_BN,BD,DAOG,48,TRUE,4,64,0.001,FALSE,0,0,100,FALSE,gpu01,0.522,
18-09_20-42_aDAOG_cB2D_b24_e100_BN,B2D,DAOG,24,TRUE,4,64,0.001,FALSE,0,0,100,FALSE,gpu08,aborted,
18-09_21-03_aDAOG_cB2D_b24_e100_do0.1,BD,DAOG,24,TRUE,4,64,0.001,FALSE,0,0.1,100,FALSE,gpu08,0.499,
18-09_21-54_aDAOG_cB3D_b24_e100_BN,B3D,DAOG,24,TRUE,4,64,0.001,FALSE,0,0,100,FALSE,gpu08,0.542,
19-09_11-45_aDAOG_cB1p5D_b24_e100_BN,B1p5D,DAOG,24,TRUE,4,64,0.001,FALSE,0,0,100,FALSE,gpu01,0.529,
19-09_11-47_aDAOG_cB2D_b48_e100_BN,B2D,DAOG,48,TRUE,4,64,0.001,FALSE,0,0,100,FALSE,gpu01,0.537,
19-09_19-26_aDAOG_cB3D_b48_e150_BN,B3D,DAOG,48,TRUE,4,64,0.001,FALSE,0,0,150,FALSE,gpu01,0.549,0.548
19-09_19-34_aDAOG_cB2D_b16_e100_BN_wd0.001,B2D,DAOG,16,TRUE,4,64,0.001,FALSE,0.001,0,100,TRUE,gpu08,0.453,
19-09_19-45_aDAOG_cBD_b16_e100_BN_lr0.0001,BD,DAOG,16,TRUE,4,64,0.0001,FALSE,0,0,100,TRUE,gpu08,0.519,
19-09_20-10_aDAOG_cB3D_b96_e150_BN,B3D,DAOG,96,TRUE,4,64,0.001,FALSE,0,0,150,FALSE,gpu10,0.53,0.546
19-09_23-34_aDAOG_cB3D_b24_e150_BN,B3D,DAOG,24,TRUE,4,64,0.001,FALSE,0,0,150,FALSE,gpu01,0.549,0.54
20-09_15-14_aDAOG_cB3D_b16_e150_BN,B3D,DAOG,16,TRUE,4,64,0.001,FALSE,0,0,150,TRUE,gpu01,0.551,0.555
20-09_15-14_aDAOG_cB3D_b8_e150_BN,B3D,DAOG,8,TRUE,4,64,0.001,FALSE,0,0,150,TRUE,gpu01,0.544,0.542
20-09_18-12_aDAOG_cB2D_b24_e100_BN_varUnet_blk3,B2D,DAOG,24,TRUE,3,64,0.001,TRUE,0,0,100,TRUE,gpu08,aborted,
20-09_18-18_aDAOG_cB2D_b24_e100_BN_varUnet,B2D,DAOG,24,TRUE,4,64,0.001,TRUE,0,0,100,TRUE,gpu06,0.538,
20-09_21-14_aDAOG_cB3D_b48_e150_BN,B3D,DAOG,48,TRUE,4,64,0.001,FALSE,0,0,150,TRUE,gpu11,0.537,0.542
20-09_21-17_aDAOG_cB2D_b24_e100_BN_varUnet_ch32,B2D,DAOG,24,TRUE,4,32,0.001,TRUE,0,0,100,TRUE,gpu11,0.543,
20-09_09-47_aDAOG_cB2D_b96_e150_BN,B2D,DAOG,96,TRUE,4,64,0.001,FALSE,0,0,150,TRUE,gpu10,aborted,
